id;n3;n2;n4;n117;id_localisation
288;0130054N;Public;Lycée professionnel Poinso-Chapuis;;107
289;0130055P;Public;Lycée professionnel Chatelier (Le);;799
290;0130056R;Public;Lycée professionnel Floride (La);;399
291;0130057S;Public;Lycée des métiers Rene Caillie;;775
292;0130058T;Public;Lycée professionnel Estaque (L');;1080
293;0130059U;Public;Lycée professionnel Blaise Pascal;;241
294;0130062X;Public;Lycée professionnel Frederic Mistral;;107
295;0130063Y;Public;Lycée professionnel Leau (Bd);;107
296;0130064Z;Public;Lycée professionnel Jean Baptiste Brochier;;35
297;0130072H;Public;Lycée professionnel Ampere;;35
298;0130143K;Public;Lycée Paul Langevin;;109
299;0130150T;Public;Lycée professionnel Jean Moulin;;112
300;0130151U;Public;Lycée professionnel Charles Mongrand;;112
301;0130157A;Public;Lycée professionnel Ferrages (Quartier Les);;1050
302;0130160D;Public;Lycée de L'Emperi;;987
303;0130161E;Public;Lycée Adam De Craponne;;987
304;0130175V;Public;Lycée Honore Daumier;;107
305;0130189K;Public;Centre de Ressources, d'Expertise et de Performance Sportive PACA - site d'Aix-en-Provence (CREPS);;36
306;0130201Y;Public;Aix-Marseille Université - Site de Marseille Luminy;;1096
307;0130202Z;Privé sous contrat d'association;IRTS PACA CORSE;;107
308;0130221V;Public;Sciences Po Aix – Institut d'études politiques;;36
309;0130232G;Public;École supérieure d’art d'Aix-en-Provence;;36
310;0130234J;Public;Ecole nationale supérieure maritime (ENSM) - Centre de Marseille;;107
311;0130235K;Privé enseignement supérieur;Institut National des Formations Notariales.;;36
312;0130236L;Public;Ecole Nationale Supérieure d'Architecture de Marseille;;799
313;0130239P;Privé enseignement supérieur;KEDGE BUSINESS SCHOOL - Site de Marseille;;1096
314;0131319N;Privé sous contrat d'association;Lycée Nativite (La);;36
315;0131331B;Privé sous contrat d'association;Lycée St Joseph Les Maristes;;1262
316;0131339K;Privé sous contrat d'association;Lycée St Joseph De La Madeleine;;1223
317;0131341M;Privé sous contrat d'association;Lycée Notre Dame De Sion;;1262
318;0131391S;Privé sous contrat d'association;Lycée St Eloi;;36
319;0131398Z;Privé sous contrat d'association;Lycée et Enseignement Supérieur Sully;;1262
320;0131402D;Privé sous contrat d'association;Lycée Charles Peguy;;1262
321;0131403E;Privé sous contrat d'association;Lycée St Vincent De Paul;;1262
322;0131433M;Privé sous contrat d'association;Lycée professionnel de St Henri;;1080
