id;n10;n11;n12;n13;n14;n15;n16
2142;BTS - Production - Cybersécurité, Informatique et réseaux, ELectronique - Option B : Electronique et réseaux;formation sélective;BTS;Lycée Victor Hugo - BTS - Production - Cybersécurité, Informatique et réseaux, ELectronique - Option B : Electronique et réseaux;BTS - Production;Cybersécurité, Informatique et réseaux, ELectronique - Option B : Electronique et réseaux;
2143;BTS - Services - Management Commercial Opérationnel;formation sélective;BTS;Lycée Evariste de Parny - BTS - Services - Management Commercial Opérationnel;BTS - Services;Management Commercial Opérationnel;
2144;BTS - Services - Commerce International;formation sélective;BTS;Lycée Jean-Baptiste Poquelin - BTS - Services - Commerce International;BTS - Services;Commerce International;
2145;Licence - Lettres;formation non sélective;Licence;Université de Mayotte - Licence - Lettres;Licence - Arts-lettres-langues;Lettres;
2146;BTS - Services - Comptabilité et gestion;formation sélective;BTS;Lycée polyvalent privé La Salle - BTS - Services - Comptabilité et gestion;BTS - Services;Comptabilité et gestion;
2147;DEUST - Métiers de la forme;formation sélective;Autre formation;Université Toulouse III - Université Toulouse - DEUST - Métiers de la forme;DEUST;Métiers de la forme;
2148;DN MADE - Mode - Spécialité : Mode et édition;formation sélective;Autre formation;Lycée ORT STRASBOURG - DN MADE - Mode - Spécialité : Mode et édition;DN MADE;Mode;Spécialité : Mode et édition
2149;BTS - Services - Assurance;formation sélective;BTS;Lycée professionnel Augustin Arron - BTS - Services - Assurance;BTS - Services;Assurance;
2150;BTS - Services - Economie sociale familiale;formation sélective;BTS;Lycée Jan Lavezzari - BTS - Services - Economie sociale familiale;BTS - Services;Economie sociale familiale;
2151;BTS - Services - Banque;formation sélective;BTS;Lycée Sophie Germain - BTS - Services - Banque;BTS - Services;Banque;
2152;BTS - Services - Métiers des Services à l'environnement;formation sélective;BTS;Lycée professionnel Helene Boucher - BTS - Services - Métiers des Services à l'environnement;BTS - Services;Métiers des Services à l'environnement;
2153;BTS - Production - Electrotechnique;formation sélective;BTS;LGT Livet - BTS - Production - Electrotechnique;BTS - Production;Electrotechnique;
2154;Licence - Langues étrangères appliquées - Parcours LEA / Anglais / Italien;formation non sélective;Licence;Université de Tours - Licence - Langues étrangères appliquées - Parcours LEA / Anglais / Italien;Licence - Arts-lettres-langues;Langues étrangères appliquées;LEA / Anglais / Italien
2155;Formation des écoles de commerce et de management Bac + 3;formation sélective;Ecole de Commerce;EGC de Brive - Formation des écoles de commerce et de management Bac + 3;Formation des écoles de commerce et de management;Formation des écoles de commerce et de management Bac + 3;
2156;CPGE - B/L - Lettres et sciences sociales;formation sélective;CPGE;Lycée Alphonse DAUDET - CPGE - B/L - Lettres et sciences sociales;Classe préparatoire littéraire;B/L - Lettres et sciences sociales;
2157;BTS - Services - Commerce International;formation sélective;BTS;Lycée polyvalent Nelson Mandela - BTS - Services - Commerce International;BTS - Services;Commerce International;
2158;Licence - Sciences du langage - Parcours communication et société;formation non sélective;Licence;Université Marie et Louis Pasteur - Université de Franche-Comté - Licence - Sciences du langage - Parcours communication et société;Licence - Arts-lettres-langues;Sciences du langage;communication et société
2159;BTS - Services - Métiers de l'audio-visuel opt : gestion de la production;formation sélective;BTS;Lycée De La Communication - BTS - Services - Métiers de l'audio-visuel opt : gestion de la production;BTS - Services;Métiers de l'audio-visuel opt : gestion de la production;
2188;Licence - Informatique;formation non sélective;Licence;Université de Tours - Licence - Informatique;Licence - Sciences - technologies - santé;Informatique;
2160;BTS - Production - Conception des processus de réalisation de produits (1ère année commune);formation sélective;BTS;Lycée Marie Curie - BTS - Production - Conception des processus de réalisation de produits (1ère année commune);BTS - Production;Conception des processus de réalisation de produits (1ère année commune);
2161;Licence - Portail Sciences de la vie - Biochimie, Biologie moléculaire ou Biologie des Organismes, Ecologie ou Chimie de l'environnement;formation non sélective;Licence;Université de Corte - Licence - Portail Sciences de la vie - Biochimie, Biologie moléculaire ou Biologie des Organismes, Ecologie ou Chimie de l'environnement;Licence - Sciences - technologies - santé;Sciences de la vie;Biochimie, Biologie moléculaire ou Biologie des Organismes, Ecologie ou Chimie de l'environnement
2162;BTS - Services - Négociation et digitalisation de la Relation Client;formation sélective;BTS;Lycée Grandmont - BTS - Services - Négociation et digitalisation de la Relation Client;BTS - Services;Négociation et digitalisation de la Relation Client;
2163;Licence - Physique -  Accès Santé;formation non sélective;Licence_Las;Université d'Orléans - Licence - Physique -  Accès Santé;Licence - Sciences - technologies - santé;Physique;
2164;BTS - Production - Electrotechnique;formation sélective;BTS;Lycée Cesar Baggio - BTS - Production - Electrotechnique;BTS - Production;Electrotechnique;
2165;Licence - Langues étrangères appliquées - Parcours Anglais-Mandarin;formation non sélective;Licence;Université de La Réunion - Saint Denis - Licence - Langues étrangères appliquées - Parcours Anglais-Mandarin;Licence - Arts-lettres-langues;Langues étrangères appliquées;Anglais-Mandarin
2166;DTS Imagerie médicale et radiologie thérapeutique;formation sélective;Autre formation;Lycée Blaise Pascal - DTS Imagerie médicale et radiologie thérapeutique;D.E secteur sanitaire;DTS Imagerie médicale et radiologie thérapeutique;
2167;Licence - Administration publique - Droit;formation non sélective;Licence;Université Lumière - Lyon 2 - Licence - Administration publique - Droit;Licence - Droit-économie-gestion;Administration publique;Droit
2168;BTS - Services - Gestion de la PME;formation sélective;BTS;Lycée Francois Truffaut - BTS - Services - Gestion de la PME;BTS - Services;Gestion de la PME;
