id;n10;n11;n12;n13;n14;n15;n16
1;Certificat de Spécialisation - Animation-gestion de projets dans le secteur sportif;formation sélective;Autre formation;LP Joseph WRESINSKI - ITEC - Certificat de Spécialisation - Animation-gestion de projets dans le secteur sportif;Certificat de Spécialisation;Animation-gestion de projets dans le secteur sportif;
2;BTS - Production - Conception des processus de réalisation de produits (1ère année commune) - Parcours Prépa Ingénieur - en 3 ans;formation sélective;BTS;Lycée Catherine et Raymond JANOT - BTS - Production - Conception des processus de réalisation de produits (1ère année commune) - Parcours Prépa Ingénieur - en 3 ans;BTS - Production;Conception des processus de réalisation de produits (1ère année commune);Parcours Prépa Ingénieur - en 3 ans
3;BTS - Production - Management économique de la construction;formation sélective;BTS;Lycée de Taiarapu Nui - BTS - Production - Management économique de la construction;BTS - Production;Management économique de la construction;
4;BTS - Services - Gestion de la PME;formation sélective;BTS;Lycée des Métiers Sainte Clotilde - BTS - Services - Gestion de la PME;BTS - Services;Gestion de la PME;
5;BTS - Services - Gestion de la PME;formation sélective;BTS;Lycée Sainte Marie Saint Dominique - BTS - Services - Gestion de la PME;BTS - Services;Gestion de la PME;
6;BTS - Production - Electrotechnique;formation sélective;BTS;Lycée des Métiers Durzy - BTS - Production - Electrotechnique;BTS - Production;Electrotechnique;
7;Formation des écoles de commerce et de management Bac + 3 - ICN Bachelor en management (dit Sup'Est);formation sélective;Ecole de Commerce;ICN BUSINESS SCHOOL - Formation des écoles de commerce et de management Bac + 3 - ICN Bachelor en management (dit Sup'Est);Formation des écoles de commerce et de management;Formation des écoles de commerce et de management Bac + 3;ICN Bachelor en management (dit Sup'Est)
8;Licence - Mathématiques - Parcours Mathématiques et Interactions;formation non sélective;Licence;Avignon Université - Licence - Mathématiques - Parcours Mathématiques et Interactions;Licence - Sciences - technologies - santé;Mathématiques;Mathématiques et Interactions
9;Mise à niveau - Hôtellerie restauration;formation sélective;Autre formation;Lycée professionnel KYOTO - Mise à niveau - Hôtellerie restauration;Mise à niveau;Hôtellerie restauration;
10;BUT - Métiers du multimédia et de l'internet;formation sélective;BUT;I.U.T de Velizy - BUT - Métiers du multimédia et de l'internet;BUT - Production;Métiers du multimédia et de l'internet;
11;CPGE - ECG;formation sélective;CPGE;Lycée Dumont d'Urville - CPGE - ECG;Classe préparatoire économique et commerciale;ECG - Mathématiques appliquées + HGG;
12;DN MADE - Innovation sociale - parcours matériaux;formation sélective;Autre formation;Lycée Assomption - DN MADE - Innovation sociale - parcours matériaux;DN MADE;Innovation sociale;parcours matériaux
13;Licence - Langues étrangères appliquées - Parcours Anglais, Espagnol;formation non sélective;Licence;Université d'Orléans - Licence - Langues étrangères appliquées - Parcours Anglais, Espagnol;Licence - Arts-lettres-langues;Langues étrangères appliquées;Anglais, Espagnol
14;BUT - Science des données;formation sélective;BUT;I.U.T des Pays de l'Adour - BUT - Science des données;BUT - Service;Science des données;
15;Licence - Langues étrangères appliquées - Parcours Anglais - Portugais;formation non sélective;Licence;Université Côte d'Azur - Licence - Langues étrangères appliquées - Parcours Anglais - Portugais;Licence - Arts-lettres-langues;Langues étrangères appliquées;Anglais - Portugais
16;Licence - Information et communication - Parcours Humanités et diversité des langages;formation sélective;Licence;Institut Catholique de Paris (ICP)- Campus de Paris - Licence - Information et communication - Parcours Humanités et diversité des langages;Licence - Sciences humaines et sociales;Information et communication;Humanités et diversité des langages
17;Certificat de Spécialisation - Technicien(ne) en soudage;formation sélective;Autre formation;Lycée professionnel Jean Prouve - Certificat de Spécialisation - Technicien(ne) en soudage;Certificat de Spécialisation;Technicien(ne) en soudage;
18;BTS - Services - Comptabilité et gestion;formation sélective;BTS;Lycée Paul Constans - BTS - Services - Comptabilité et gestion;BTS - Services;Comptabilité et gestion;
19;BTS - Services - Négociation et digitalisation de la Relation Client;formation sélective;BTS;Lycée Claude Nicolas Ledoux - BTS - Services - Négociation et digitalisation de la Relation Client;BTS - Services;Négociation et digitalisation de la Relation Client;
20;BTS - Services - Négociation et digitalisation de la Relation Client;formation sélective;BTS;Lycée Antoine De Saint Exupery - BTS - Services - Négociation et digitalisation de la Relation Client;BTS - Services;Négociation et digitalisation de la Relation Client;
21;Licence - Science politique - Parcours ESG (European School of Government);formation non sélective;Licence;ICES - Institut Catholique de Vendée - Licence - Science politique - Parcours ESG (European School of Government);Licence - Droit-économie-gestion;Science politique;ESG (European School of Government)
22;BTS - Production - Fluide, énergie, domotique - option B froid et conditionnement d'air;formation sélective;BTS;Lycée De La Fontaine Des Eaux - BTS - Production - Fluide, énergie, domotique - option B froid et conditionnement d'air;BTS - Production;Fluide, énergie, domotique - option B froid et conditionnement d'air;
23;D.E Assistant de Service Social;formation sélective;EFTS;BUC RESSOURCES - D.E Assistant de Service Social;D.E secteur social;D.E Assistant de Service Social;
24;CPGE - MPSI;formation sélective;CPGE;Lycée Sainte Marie - CPGE - MPSI;Classe préparatoire scientifique;MPSI;
25;BTS - Services - Commerce International;formation sélective;BTS;IPAG Business School - Campus de Paris - BTS - Services - Commerce International;BTS - Services;Commerce International;
26;BTS - Production - Travaux publics;formation sélective;BTS;Lycée Dhuoda - BTS - Production - Travaux publics;BTS - Production;Travaux publics;
27;BTS - Services - Métiers de l'audio-visuel opt : montage et post-production;formation sélective;BTS;Lycée De La Communication - BTS - Services - Métiers de l'audio-visuel opt : montage et post-production;BTS - Services;Métiers de l'audio-visuel opt : montage et post-production;
28;BPJEPS - Spécialité Educateur sportif - Mention Activités aquatiques et de la natation;formation sélective;Autre formation;Centre de Ressources, d’Expertise et de Performance Sportive d’Auvergne Rhône-Alpes Vallon-Pont-d'Arc (CREPS) - BPJEPS - Spécialité Educateur sportif - Mention Activités aquatiques et de la natation;BPJEPS;Spécialité Educateur sportif - Mention Activités aquatiques et de la natation;
29;BTS - Agricole - Gestion et maitrise de l'eau;formation sélective;BTS;Lycée agricole Theodore Monod - BTS - Agricole - Gestion et maitrise de l'eau;BTS - Agricole;Gestion et maitrise de l'eau;
30;Licence - Portail Droit - Droit général;formation non sélective;Licence_Las;Université d'Orléans - Licence - Portail Droit - Droit général;Licence - Droit-économie-gestion;Droit;Droit général
31;BTS - Services - Support à l'action managériale;formation sélective;BTS;Lycée polyvalent Nelson Mandela - BTS - Services - Support à l'action managériale;BTS - Services;Support à l'action managériale;
32;BTS - Services - Management Commercial Opérationnel;formation sélective;BTS;Lycée Notre Dame De La Paix - BTS - Services - Management Commercial Opérationnel;BTS - Services;Management Commercial Opérationnel;
33;BTS - Production - Maintenance des véhicules option véhicules de transport routier;formation sélective;BTS;Lycée Claude Lehec - BTS - Production - Maintenance des véhicules option véhicules de transport routier;BTS - Production;Maintenance des véhicules option véhicules de transport routier;
34;BTS - Services - Gestion de la PME;formation sélective;BTS;Lycée Protectorat Saint Joseph - BTS - Services - Gestion de la PME;BTS - Services;Gestion de la PME;
35;CPGE - PCSI;formation sélective;CPGE;Lycée St Joseph Pierre Rouge - CPGE - PCSI;Classe préparatoire scientifique;PCSI;
36;DN MADE - Spectacle - Spécialité : Sonorisation et création sonore;formation sélective;Autre formation;Lycée Paul Poiret - DN MADE - Spectacle - Spécialité : Sonorisation et création sonore;DN MADE;Spectacle;Spécialité : Sonorisation et création sonore
37;Licence - Portail Philosophie;formation non sélective;Licence_Las;Université Bourgogne Europe (ex université de Bourgogne) - Licence - Portail Philosophie;Licence - Arts-lettres-langues;Philosophie;
38;BTS - Production - Fluide, énergie, domotique - option B froid et conditionnement d'air;formation sélective;BTS;Lycée Cantau - BTS - Production - Fluide, énergie, domotique - option B froid et conditionnement d'air;BTS - Production;Fluide, énergie, domotique - option B froid et conditionnement d'air;
39;BTS - Production - Cybersécurité, Informatique et réseaux, ELectronique - Option A : Informatique et réseaux;formation sélective;BTS;Lycée Dhuoda - BTS - Production - Cybersécurité, Informatique et réseaux, ELectronique - Option A : Informatique et réseaux;BTS - Production;Cybersécurité, Informatique et réseaux, ELectronique - Option A : Informatique et réseaux;
40;DN MADE - Espace - Spécialité : Conception spatiale et lumière;formation sélective;Autre formation;Lycée La Martinière-Diderot - DN MADE - Espace - Spécialité : Conception spatiale et lumière;DN MADE;Espace;Spécialité : Conception spatiale et lumière
41;CPGE - PCSI;formation sélective;CPGE;Lycée Jean Perrin - CPGE - PCSI;Classe préparatoire scientifique;PCSI;
42;CPGE - PCSI;formation sélective;CPGE;Lycée Michelet - CPGE - PCSI;Classe préparatoire scientifique;PCSI;
43;Licence - Double diplôme - Licence Gestion - BSc in Global Management;formation sélective;Licence;Université Toulouse Capitole - Licence - Double diplôme - Licence Gestion - BSc in Global Management;Licence - Droit-économie-gestion;Gestion;BSc in Global Management
44;Licence - Sciences de l'éducation et de la formation - Parcours Intervention sociale et insertion-formation;formation non sélective;Licence;Université Paris- Est-Créteil Val de Marne - UPEC (Paris 12) - Licence - Sciences de l'éducation et de la formation - Parcours Intervention sociale et insertion-formation;Licence - Sciences humaines et sociales;Sciences de l'éducation et de la formation;Intervention sociale et insertion-formation
45;BUT - Science des données;formation sélective;BUT;I.U.T LUMIERE Lyon 2 - BUT - Science des données;BUT - Service;Science des données;
46;Licence - Portail Information et communication - Information et communication - Martinique;formation non sélective;Licence;Université des Antilles - Pôle Martinique - Licence - Portail Information et communication - Information et communication - Martinique;Licence - Sciences humaines et sociales;Information et communication;Information et communication - Martinique
47;BTS - Services - Etudes de réalisation d'un projet de communication - 1ère année commune;formation sélective;BTS;Lycée Stéphane Hessel - BTS - Services - Etudes de réalisation d'un projet de communication - 1ère année commune;BTS - Services;Etudes de réalisation d'un projet de communication - 1ère année commune;
48;BTS - Services - Négociation et digitalisation de la Relation Client;formation sélective;BTS;Lycée Charles Le Chauve - BTS - Services - Négociation et digitalisation de la Relation Client;BTS - Services;Négociation et digitalisation de la Relation Client;
49;Formation des écoles de commerce et de management Bac + 3 - BSC Chef de projet Mode et des Industries Créatives - Cursus anglophone;formation sélective;Ecole de Commerce;Institut Francais de la Mode (IFM) - Formation des écoles de commerce et de management Bac + 3 - BSC Chef de projet Mode et des Industries Créatives - Cursus anglophone;Formation des écoles de commerce et de management;Formation des écoles de commerce et de management Bac + 3;BSC Chef de projet Mode et des Industries Créatives - Cursus anglophone
50;BPJEPS - Spécialité Educateur sportif - Mention Équitation;formation sélective;Autre formation;Institut Français du Cheval et de l'Equitation (IFCE) - BPJEPS - Spécialité Educateur sportif - Mention Équitation;BPJEPS;Spécialité Educateur sportif - Mention Équitation;
51;BTS - Production - Métiers de la chimie;formation sélective;BTS;Lycée Pierre-Gilles de Gennes - ENCPB - BTS - Production - Métiers de la chimie;BTS - Production;Métiers de la chimie;
52;Diplôme de Comptabilité et de Gestion;formation sélective;Autre formation;Lycée Ozenne - Diplôme de Comptabilité et de Gestion;DCG;Diplôme de Comptabilité et de Gestion;
53;BTS - Services - Gestion de la PME;formation sélective;BTS;Lycée professionnel Croiset - BTS - Services - Gestion de la PME;BTS - Services;Gestion de la PME;
54;BTS - Services - Conseil et commercialisation de solutions techniques;formation sélective;BTS;Lycée Le Corbusier - BTS - Services - Conseil et commercialisation de solutions techniques;BTS - Services;Conseil et commercialisation de solutions techniques;
55;Licence - Portail Droit - parcours Droit;formation non sélective;Licence;Université Toulouse Capitole - Licence - Portail Droit - parcours Droit;Licence - Droit-économie-gestion;Droit;parcours Droit
56;BTS - Services - Comptabilité et gestion;formation sélective;BTS;Lycée Deforest De Lewarde - BTS - Services - Comptabilité et gestion;BTS - Services;Comptabilité et gestion;
57;BUT - Métiers de la Transition et de l'Efficacité Énergétiques;formation sélective;BUT;IUT Lyon1 Site de Bourg-en-Bresse - BUT - Métiers de la Transition et de l'Efficacité Énergétiques;BUT - Production;Métiers de la Transition et de l'Efficacité Énergétiques;
58;BTS - Services - Gestion de la PME;formation sélective;BTS;Lycée Louis Pasteur - BTS - Services - Gestion de la PME;BTS - Services;Gestion de la PME;
59;BUT - Science et génie des matériaux;formation sélective;BUT;I.U.T. de Mulhouse - BUT - Science et génie des matériaux;BUT - Production;Science et génie des matériaux;
60;BTS - Services - Assurance;formation sélective;BTS;Lycée Dupuy De Lôme - BTS - Services - Assurance;BTS - Services;Assurance;
61;BTS - Services - Professions immobilières;formation sélective;BTS;SGT SKHOLE d'ART-BONNECAZE - BTS - Services - Professions immobilières;BTS - Services;Professions immobilières;
62;Formation des écoles de commerce et de management Bac + 3 - Bachelor - Coordination de projets de développement international et sociétal;formation sélective;Ecole de Commerce;3A, l’Ecole de management responsable et solidaire - Formation des écoles de commerce et de management Bac + 3 - Bachelor - Coordination de projets de développement international et sociétal;Formation des écoles de commerce et de management;Formation des écoles de commerce et de management Bac + 3;Bachelor - Coordination de projets de développement international et sociétal
63;BTS - Production - Maintenance des systèmes - option A Systèmes de production;formation sélective;BTS;Lycée Henri Nominé - BTS - Production - Maintenance des systèmes - option A Systèmes de production;BTS - Production;Maintenance des systèmes - option A Systèmes de production;
64;DN MADE - Mode - Spécialité : Stylisme, image et médiatisation;formation sélective;Autre formation;Esaa Duperré - DN MADE - Mode - Spécialité : Stylisme, image et médiatisation;DN MADE;Mode;Spécialité : Stylisme, image et médiatisation
65;Licence - Sciences sociales;formation non sélective;Licence;Université Lumière - Lyon 2 - Licence - Sciences sociales;Licence - Sciences humaines et sociales;Sciences sociales;Sciences sociales – Géographie et aménagement
66;BTS - Production - Assistance technique d'ingénieur;formation sélective;BTS;Lycée professionnel Amiral Lacaze - BTS - Production - Assistance technique d'ingénieur;BTS - Production;Assistance technique d'ingénieur;
67;Licence - Sciences de l'éducation et de la formation;formation non sélective;Licence;Université Côte d'Azur - Licence - Sciences de l'éducation et de la formation;Licence - Sciences humaines et sociales;Sciences de l'éducation et de la formation;
68;Certificat de Spécialisation - Services numériques aux organisations;formation sélective;Autre formation;Lycée Champlain - Certificat de Spécialisation - Services numériques aux organisations;Certificat de Spécialisation;Services numériques aux organisations;
69;Architecture;formation sélective;Autre formation;Ecole Nationale Supérieure d'Architecture de Paris-Malaquais - Architecture;Formations Bac + 5;Architecture;
70;Licence - Information et communication - Parcours Infographie et médias interactifs;formation sélective;Licence;Facultés libres de l'ouest - UCO - Laval - Licence - Information et communication - Parcours Infographie et médias interactifs;Licence - Sciences humaines et sociales;Information et communication;Infographie et médias interactifs
71;BTS - Services - Métiers de l'esthétique-cosmétique-parfumerie;formation sélective;BTS;Lycée Saint-Charles - BTS - Services - Métiers de l'esthétique-cosmétique-parfumerie;BTS - Services;Métiers de l'esthétique-cosmétique-parfumerie;
72;BTS - Production - Maintenance des systèmes - option A Systèmes de production;formation sélective;BTS;Lycée Auguste Behal - BTS - Production - Maintenance des systèmes - option A Systèmes de production;BTS - Production;Maintenance des systèmes - option A Systèmes de production;
73;Gestion internationale, économie et éthique (diplôme valant reconnaissance de niveau Licence);formation sélective;Autre formation;Facultés libres de l'Ouest - UCO ANGERS - Gestion internationale, économie et éthique (diplôme valant reconnaissance de niveau Licence);Diplôme d'Etablissement;Diplôme d'Etablissement;Gestion internationale, économie et éthique (diplôme valant reconnaissance de niveau Licence)
74;BTS - Production - Cybersécurité, Informatique et réseaux, ELectronique - Option B : Electronique et réseaux;formation sélective;BTS;Lycée Rempart (Rue Du) - BTS - Production - Cybersécurité, Informatique et réseaux, ELectronique - Option B : Electronique et réseaux;BTS - Production;Cybersécurité, Informatique et réseaux, ELectronique - Option B : Electronique et réseaux;
75;BTS - Services - Comptabilité et gestion;formation sélective;BTS;Lycée JEAN ROSE - BTS - Services - Comptabilité et gestion;BTS - Services;Comptabilité et gestion;
76;BTS - Services - Métiers de l'audio-visuel opt : gestion de la production;formation sélective;BTS;Lycée Jean Rostand - BTS - Services - Métiers de l'audio-visuel opt : gestion de la production;BTS - Services;Métiers de l'audio-visuel opt : gestion de la production;
77;BTS - Services - Collaborateur juriste notarial;formation sélective;BTS;Lycée Gaston Berger - BTS - Services - Collaborateur juriste notarial;BTS - Services;Collaborateur juriste notarial;
78;BUT - Génie civil - Construction durable;formation sélective;BUT;I.U.T de Marne la Vallée - BUT - Génie civil - Construction durable;BUT - Production;Génie civil - Construction durable;
79;Licence - Langues étrangères appliquées - Parcours Anglais - Espagnol;formation non sélective;Licence;Université de Lorraine - UFR Arts, Lettres et Langues - Site de Metz (57) - Licence - Langues étrangères appliquées - Parcours Anglais - Espagnol;Licence - Arts-lettres-langues;Langues étrangères appliquées;Anglais - Espagnol
80;BTS - Services - Gestion de la PME;formation sélective;BTS;Lycée Frederic Et Irene Joliot Curie - BTS - Services - Gestion de la PME;BTS - Services;Gestion de la PME;
81;Licence - Langues, littératures et civilisations étrangères et régionales - Parcours Licence 1 - Russe trilangue;formation non sélective;Licence;Université Bordeaux Montaigne - Licence - Langues, littératures et civilisations étrangères et régionales - Parcours Licence 1 - Russe trilangue;Licence - Arts-lettres-langues;Langues, littératures et civilisations étrangères et régionales;Licence 1 - Russe trilangue
82;Licence - Portail Portail Mathématiques et applications;formation non sélective;Licence;Université de Rennes (EPE) - Licence - Portail Portail Mathématiques et applications;Licence - Sciences - technologies - santé;Mathématiques;Portail Mathématiques et applications
83;BTS - Services - Economie sociale familiale;formation sélective;BTS;Lycée Beausejour - BTS - Services - Economie sociale familiale;BTS - Services;Economie sociale familiale;
84;Diplôme de Comptabilité et de Gestion;formation sélective;Autre formation;Lycée Jean Rostand - Diplôme de Comptabilité et de Gestion;DCG;Diplôme de Comptabilité et de Gestion;
85;Licence - Information et communication;formation non sélective;Licence;Université Savoie Mont Blanc - Chambéry - Licence - Information et communication;Licence - Arts-lettres-langues;Information et communication;
567;BTS - Services - Tourisme;formation sélective;BTS;Lycée Sophie Berthelot - BTS - Services - Tourisme;BTS - Services;Tourisme;
86;BTS - Services - Communication;formation sélective;BTS;Lycée Saint Charles - BTS - Services - Communication;BTS - Services;Communication;
87;BTS - Production - Electrotechnique;formation sélective;BTS;Lycée BENJAMIN FRANKLIN - BTS - Production - Electrotechnique;BTS - Production;Electrotechnique;
88;CPGE - Lettres;formation sélective;CPGE;Lycée Mariette - CPGE - Lettres;Classe préparatoire littéraire;Lettres;
89;BTS - Services - Services informatiques aux organisations;formation sélective;BTS;Lycée Auguste Blanqui - BTS - Services - Services informatiques aux organisations;BTS - Services;Services informatiques aux organisations;
90;Cycle pluridisciplinaire d'Études Supérieures - Sciences Des Données, Société et Santé;formation sélective;Autre formation;Université Paris-Saclay - Cycle pluridisciplinaire d'Études Supérieures - Sciences Des Données, Société et Santé;CPES;Cycle pluridisciplinaire d'Études Supérieures - Sciences Des Données, Société et Santé;
91;BTS - Production - Cybersécurité, Informatique et réseaux, ELectronique - Option A : Informatique et réseaux;formation sélective;BTS;Lycée Polyvalent Privé Saint Jean Baptiste la Salle - BTS - Production - Cybersécurité, Informatique et réseaux, ELectronique - Option A : Informatique et réseaux;BTS - Production;Cybersécurité, Informatique et réseaux, ELectronique - Option A : Informatique et réseaux;
92;BTS - Production - Maintenance des véhicules option véhicules de transport routier;formation sélective;BTS;Lycée Rene Cassin - BTS - Production - Maintenance des véhicules option véhicules de transport routier;BTS - Production;Maintenance des véhicules option véhicules de transport routier;
93;BTS - Services - Commerce International;formation sélective;BTS;Lycée Albert Schweitzer - BTS - Services - Commerce International;BTS - Services;Commerce International;
94;CPGE - ENS Cachan D2;formation sélective;CPGE;Lycée Jean Mermoz - CPGE - ENS Cachan D2;Classe préparatoire économique et commerciale;ENS Cachan D2;
95;CPGE - ECG -  - Mathématiques approfondies + ESH;formation sélective;CPGE;Lycée Charles-De-Gaulle - CPGE - ECG -  - Mathématiques approfondies + ESH;Classe préparatoire économique et commerciale;ECG - Mathématiques approfondies + ESH;
96;Formation des écoles de commerce et de management Bac + 3 - Bachelor en management du tourisme et de l'hôtellerie;formation sélective;Ecole de Commerce;EXCELIA - Formation des écoles de commerce et de management Bac + 3 - Bachelor en management du tourisme et de l'hôtellerie;Formation des écoles de commerce et de management;Formation des écoles de commerce et de management Bac + 3;Bachelor en management du tourisme et de l'hôtellerie
97;BTS - Agricole - Analyse, conduite et stratégie de l'entreprise agricole, option Territoires métropolitains;formation sélective;BTS;MFR CFA de Beaupréau - BTS - Agricole - Analyse, conduite et stratégie de l'entreprise agricole, option Territoires métropolitains;BTS - Agricole;Analyse, conduite et stratégie de l'entreprise agricole, option Territoires métropolitains;
98;Licence - Sciences du langage - Parcours Professorat des écoles;formation non sélective;Licence;Université de Lorraine - UFR Sciences Humaines et Sociales - Site de Metz (57) - Licence - Sciences du langage - Parcours Professorat des écoles;Licence - Sciences humaines et sociales;Sciences du langage;Professorat des écoles
99;Double licence - Mathématiques / Sciences de la vie -;formation sélective;Licence;Université Claude Bernard Lyon 1 - Double licence - Mathématiques / Sciences de la vie -;Licence - Sciences - technologies - santé;Mathématiques;
100;BTS - Production - Bâtiment;formation sélective;BTS;Lycée Claude-Nicolas LEDOUX / EBTP - BTS - Production - Bâtiment;BTS - Production;Bâtiment;
101;CPGE - ECG -  - Mathématiques approfondies + HGG;formation sélective;CPGE;Lycée Polyvalent Gabriel Touchard - Washington - CPGE - ECG -  - Mathématiques approfondies + HGG;Classe préparatoire économique et commerciale;ECG - Mathématiques approfondies + HGG;
102;Licence - Portail Sciences et Techniques des Activités Physiques et Sportives;formation non sélective;Licence_Las;Université de Rennes 2 - Licence - Portail Sciences et Techniques des Activités Physiques et Sportives;Licence - STAPS;Sciences et Techniques des Activités Physiques et Sportives;
103;BTS - Production - Conception des processus de réalisation de produits (1ère année commune);formation sélective;BTS;Lycée La Découverte - BTS - Production - Conception des processus de réalisation de produits (1ère année commune);BTS - Production;Conception des processus de réalisation de produits (1ère année commune);
104;Licence - Géographie et aménagement - Parcours Géographie, Aménagement;formation non sélective;Licence;Université de Rennes 2 - Licence - Géographie et aménagement - Parcours Géographie, Aménagement;Licence - Sciences humaines et sociales;Géographie et aménagement;Géographie, Aménagement
105;Année préparatoire - Année de préparation aux études supérieures (A.P.E.S.)- Option Sciences politiques;formation sélective;Autre formation;Institut Catholique de Paris (ICP)- Campus de Paris - Année préparatoire - Année de préparation aux études supérieures (A.P.E.S.)- Option Sciences politiques;Année préparatoire;Année préparatoire;Année de préparation aux études supérieures (A.P.E.S.)- Option Sciences politiques
106;BTS - Production - Management économique de la construction;formation sélective;BTS;Lycée Schuman Perret - BTS - Production - Management économique de la construction;BTS - Production;Management économique de la construction;
107;Licence - Economie et gestion;formation non sélective;Licence;Université de Pau et des pays de l'Adour - Collège SSH (Pau) - Licence - Economie et gestion;Licence - Droit-économie-gestion;Economie et gestion;
108;Formation des écoles de commerce et de management Bac + 5 - Programme Grande Ecole;formation sélective;Ecole de Commerce;ICD International Business School - Campus de Toulouse - Formation des écoles de commerce et de management Bac + 5 - Programme Grande Ecole;Formation des écoles de commerce et de management;Formation des écoles de commerce et de management Bac + 5;Programme Grande Ecole - Parcours International
109;BTS - Services - Economie sociale familiale;formation sélective;BTS;Lycée Valentine Labbe - BTS - Services - Economie sociale familiale;BTS - Services;Economie sociale familiale;
110;BTS - Production - Cybersécurité, Informatique et réseaux, ELectronique - Option A : Informatique et réseaux;formation sélective;BTS;Lycée Andre Malraux - BTS - Production - Cybersécurité, Informatique et réseaux, ELectronique - Option A : Informatique et réseaux;BTS - Production;Cybersécurité, Informatique et réseaux, ELectronique - Option A : Informatique et réseaux;
111;BTS - Agricole - Métiers de l'élevage: développement, production et conseil;formation sélective;BTS;ESA- Ecole supérieure des Agricultures (Angers) - BTS - Agricole - Métiers de l'élevage: développement, production et conseil;BTS - Agricole;Métiers de l'élevage: développement, production et conseil;
112;Licence - Portail Sciences pour la santé - Réadaptation : accès Ergothérapie, Orthoptie et Masso-kinésithérapie;formation non sélective;Licence;Université Clermont Auvergne - Licence - Portail Sciences pour la santé - Réadaptation : accès Ergothérapie, Orthoptie et Masso-kinésithérapie;Licence - Sciences - technologies - santé;Sciences pour la santé;mineure Sciences de la Vie - Réadaptation : accès Ergothérapie, Orthoptie et Masso-kinésithérapie
113;Licence - Portail Sciences et technologies;formation non sélective;Licence;Université de Bordeaux - Bordeaux Métropole - Licence - Portail Sciences et technologies;Licence - Sciences - technologies - santé;Sciences pour l'ingénieur;Sciences et technologies : Sciences pour l'ingénieur
114;BTS - Services - Economie sociale familiale;formation sélective;BTS;Lycée Saint-Andre - BTS - Services - Economie sociale familiale;BTS - Services;Economie sociale familiale;
115;CPGE - PCSI;formation sélective;CPGE;Lycée Pierre d'Ailly - CPGE - PCSI;Classe préparatoire scientifique;PCSI;
116;BTS - Production - Assistance technique d'ingénieur;formation sélective;BTS;Lycée Jules Siegfried - BTS - Production - Assistance technique d'ingénieur;BTS - Production;Assistance technique d'ingénieur;
117;Licence - Droit - Parcours Droit International;formation sélective;Licence;Université de Versailles - Saint Quentin en Yvelines - Licence - Droit - Parcours Droit International;Licence - Droit-économie-gestion;Droit;Droit International
118;BTS - Agricole - Métiers de l'élevage: développement, production et conseil;formation sélective;BTS;Lycée agricole de Nevers Challuy - BTS - Agricole - Métiers de l'élevage: développement, production et conseil;BTS - Agricole;Métiers de l'élevage: développement, production et conseil;
119;CPGE - BCPST;formation sélective;CPGE;Lycée Francois René De Chateaubriand - CPGE - BCPST;Classe préparatoire scientifique;BCPST;
120;Licence - Portail Langues, littératures et civilisations étrangères et régionales - Licence LLCER Portugais (renforcé OU mineures);formation non sélective;Licence;Université Sorbonne Nouvelle Paris 3 - Licence - Portail Langues, littératures et civilisations étrangères et régionales - Licence LLCER Portugais (renforcé OU mineures);Licence - Arts-lettres-langues;Langues, littératures et civilisations étrangères et régionales;Licence 1 LLCER Portugais mineure Information - Communication
121;BTS - Agricole - Gestion et maitrise de l'eau;formation sélective;BTS;ENILEA-Lycée-campus Mamirolle - BTS - Agricole - Gestion et maitrise de l'eau;BTS - Agricole;Gestion et maitrise de l'eau;
122;BTS - Production - Conception et réalisation en chaudronnerie industrielle;formation sélective;BTS;Lycée Du Hainaut - BTS - Production - Conception et réalisation en chaudronnerie industrielle;BTS - Production;Conception et réalisation en chaudronnerie industrielle;
123;BTS - Services - Support à l'action managériale;formation sélective;BTS;LPO Nelson Mandela - BTS - Services - Support à l'action managériale;BTS - Services;Support à l'action managériale;
124;BTS - Services - Tourisme;formation sélective;BTS;Lycée des Métiers - Hôtelier et de Tourisme - BTS - Services - Tourisme;BTS - Services;Tourisme;
125;Certificat de Spécialisation - Métiers du bar;formation sélective;Autre formation;Gustave Eiffel Lycée des Métiers de l'Industrie Lycée des Métiers de l'Hôtellerie et de la Restauration - Certificat de Spécialisation - Métiers du bar;Certificat de Spécialisation;Métiers du bar;
126;Double licence - Histoire / Sociologie - Double licence Histoire et Sociologie;formation non sélective;Licence;Université de Tours - Double licence - Histoire / Sociologie - Double licence Histoire et Sociologie;Licence - Sciences humaines et sociales;Histoire;Double licence Histoire et Sociologie
127;BTS - Production - Cybersécurité, Informatique et réseaux, ELectronique - Option B : Electronique et réseaux;formation sélective;BTS;Lycée Chaptal - BTS - Production - Cybersécurité, Informatique et réseaux, ELectronique - Option B : Electronique et réseaux;BTS - Production;Cybersécurité, Informatique et réseaux, ELectronique - Option B : Electronique et réseaux;
128;Licence - Physique, chimie;formation non sélective;Licence;Université Marie et Louis Pasteur - Université de Franche-Comté (Belfort) - Licence - Physique, chimie;Licence - Sciences - technologies - santé;Physique, chimie;
129;BTS - Services - Négociation et digitalisation de la Relation Client;formation sélective;BTS;Lycée Darius Milhaud - BTS - Services - Négociation et digitalisation de la Relation Client;BTS - Services;Négociation et digitalisation de la Relation Client;
130;Formation des écoles de commerce et de management Bac + 3 - Bachelor Marketing Digital et communication;formation sélective;Ecole de Commerce;EFREI Paris - Formation des écoles de commerce et de management Bac + 3 - Bachelor Marketing Digital et communication;Formation des écoles de commerce et de management;Formation des écoles de commerce et de management Bac + 3;Bachelor Marketing Digital et communication
